message_time,message,label,category
2005-06-03 15:42:53,RAS KERNEL INFO instruction cache parity error corrected,0,-
2005-06-03 15:49:36,RAS KERNEL INFO instruction cache parity error corrected,0,-
2005-06-03 16:47:20,RAS KERNEL INFO 63543 double-hummer alignment exceptions,0,-
2005-06-03 16:56:14,RAS KERNEL INFO 162 double-hummer alignment exceptions,0,-
2005-06-03 16:56:55,RAS KERNEL INFO 141 double-hummer alignment exceptions,0,-
2005-06-03 18:21:59,"RAS KERNEL INFO CE sym 2, at 0x0b85eee0, mask 0x05",0,-
2005-06-04 00:24:32,RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,1,APPREAD
2005-06-04 00:24:36,RAS APP FATAL ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,1,APPREAD
2005-06-05 00:09:01,RAS KERNEL INFO generating core.2275,0,-
2005-06-05 00:09:52,RAS KERNEL INFO generating core.862,0,-
2005-06-05 00:37:25,RAS KERNEL INFO generating core.775,0,-
2005-06-05 01:18:21,RAS KERNEL INFO generating core.3276,0,-
2005-06-05 01:18:33,RAS KERNEL INFO generating core.1717,0,-
2005-06-05 01:19:23,RAS KERNEL INFO generating core.3919,0,-
2005-06-05 05:15:59,RAS KERNEL INFO generating core.2079,0,-
2005-06-05 05:18:39,RAS KERNEL INFO generating core.3055,0,-
2005-06-05 05:23:26,RAS KERNEL INFO generating core.201,0,-
2005-06-05 05:27:43,RAS KERNEL INFO generating core.1125,0,-
2005-06-05 05:40:51,RAS KERNEL INFO generating core.412,0,-
2005-06-05 06:04:18,RAS KERNEL INFO generating core.7828,0,-
2005-06-05 06:18:17,RAS KERNEL INFO generating core.5570,0,-
2005-06-05 06:47:07,RAS KERNEL INFO generating core.8275,0,-
2005-06-05 07:43:29,RAS KERNEL INFO generating core.4183,0,-
2005-06-05 08:08:44,RAS KERNEL INFO generating core.6545,0,-
2005-06-05 08:08:50,RAS KERNEL INFO generating core.4245,0,-
2005-06-05 08:10:16,RAS KERNEL INFO generating core.6884,0,-
2005-06-05 08:10:46,RAS KERNEL FATAL force load/store alignment...............0,0,-
2005-06-05 08:30:01,RAS KERNEL INFO generating core.6471,0,-
2005-06-05 08:30:13,RAS KERNEL INFO generating core.4155,0,-
2005-06-05 08:31:04,RAS KERNEL INFO generating core.449,0,-
2005-06-05 08:32:13,RAS KERNEL INFO generating core.6990,0,-
2005-06-05 08:32:27,RAS KERNEL INFO generating core.4876,0,-
2005-06-05 09:03:40,RAS KERNEL INFO generating core.2218,0,-
2005-06-05 09:17:46,RAS KERNEL INFO generating core.7518,0,-
2005-06-05 09:20:16,RAS KERNEL INFO generating core.7457,0,-
2005-06-05 09:20:43,RAS KERNEL INFO generating core.6896,0,-
2005-06-05 09:38:03,RAS KERNEL INFO generating core.3488,0,-
2005-06-05 09:38:28,RAS KERNEL INFO generating core.1172,0,-
2005-06-05 09:38:50,RAS KERNEL INFO generating core.2286,0,-
2005-06-05 09:39:37,RAS KERNEL INFO generating core.786,0,-
2005-06-05 09:39:54,RAS KERNEL INFO generating core.2680,0,-
2005-06-05 09:40:01,RAS KERNEL INFO generating core.1524,0,-
2005-06-05 09:40:17,RAS KERNEL INFO generating core.4937,0,-
